Id,Name,Notes
511,Sleep medications (unspecified),"REVIEW FEEDBACK: DO NOT confuse with [378] Adaptive equipment (includes technology, like AAC devices and zoom/telehealth)."
512,Supplements (unspecified),"Only use when a specific supplement is mentioned by name (e.g., fish oil, vitamin D, probiotics) but does not match another specific code. Do NOT use for medications given in supplement form (e.g., magnesium for constipation = bowel treatment)."
513,"THC, marijuana","ONLY use when THC/marijuana is prescribed/used: 'THC', 'marijuana', 'medical marijuana', 'cannabis', or when delta-9-tetrahydrocannabinol (THC) or other cannabinoid metabolites are detected in urine — NOT for CBD products (use specific CBD codes), recreational marijuana discussions, or seizure treatments without THC use"
514,"tramadol, Ultram","ONLY use when this pain medication is prescribed/used: 'tramadol', 'Ultram', 'pain medication' - NOT for other pain medications, opioids, or pain concerns without tramadol use."
515,"valproic acid, VPA, depakene, Depekote, Divalproex",Only use when valproic acid/Depakote/Divalproex is explicitly named as a current medication.
516,"venlafaxine, Effexor","ONLY use when this antidepressant medication is prescribed/used: 'venlafaxine', 'Effexor', 'SNRI antidepressant' - NOT for other antidepressants, mood treatments, or depression concerns without venlafaxine use."
517,"ziprasidone, Geodon","ONLY use when this antipsychotic medication is prescribed/used: 'ziprasidone', 'Geodon', 'antipsychotic medication' - NOT for other psychiatric medications, mood treatments, or behavioral concerns without ziprasidone use."
518,"zonisamide, Zonegran","ONLY use when this seizure medication is prescribed/used: 'zonisamide', 'Zonegran', 'seizure medication' - NOT for other seizure medications, neurological treatments, or seizure concerns without zonisamide use."
519,Side Effects,ONLY use as a domain header for organizing Side Effect conditions - NOT for coding individual side effects or adverse reactions.
520,"Surgical/Medical Interventions, in Hospital, Office, or Clinic",ONLY use as a domain header for organizing Surgical/Medical Intervention conditions - NOT for coding individual surgical or medical procedures.
521,"tympanostomy tube, ear tubes","ONLY use when ear tubes are placed: 'ear tubes', 'tympanostomy tubes', 'PE tubes', 'pressure equalization tubes' - NOT for ear infections, hearing problems, or ENT evaluations without ear tube placement."
522,Casting Feet,"ONLY use when feet are casted for orthopedic treatment: 'foot casting', 'feet in casts', 'orthopedic casting', 'casting for feet' - NOT for broken bones, foot braces, or orthopedic concerns without actual casting."
523,Colostomy,"ONLY use when colostomy is present: 'colostomy', 'colostomy bag', 'stoma', 'bowel diversion surgery' - NOT for other bowel surgeries, ileostomy, or bowel concerns without colostomy."
524,Vagal Nerve Stimulator,"ONLY use when VNS device is implanted: 'VNS', 'vagal nerve stimulator', 'vagus nerve stimulator', 'VNS implant' - NOT for other seizure treatments, neurostimulation, or seizure concerns without VNS device."
525,Therapies Required,"This is a CATEGORY HEADER code for organizing therapy-related concepts. Do NOT annotate this code directly — instead use the specific therapy codes (e.g., [539] Occupational Therapy, [541] Physical Therapy, [527] Speech Therapy). Only annotate this code if the caregiver mentions therapies are required but does not specify which type."
526,Applied Behavior Analysis (ABA),"ONLY use when ABA therapy is provided: 'ABA', 'applied behavior analysis', 'ABA therapy', 'behavioral intervention' - NOT for other behavioral therapies, speech therapy, or autism treatments without ABA."
527,Aqua,"ONLY use when aquatic therapy is provided: 'aqua therapy', 'water therapy', 'pool therapy', 'aquatic rehabilitation', 'swimming therapy' - NOT for swimming lessons, recreational swimming, bathing, or water activities without therapeutic purpose."
528,Behavioral Therapy,"ONLY use when behavioral therapy is provided (non-ABA): 'behavioral therapy', 'behavior modification', 'behavioral intervention' - NOT for ABA therapy (use code 526), counseling, or behavioral concerns without therapy."
529,Chest physio,"ONLY use when chest physiotherapy is provided: 'chest physiotherapy', 'chest PT', 'percussion therapy', 'airway clearance' - NOT for respiratory treatments, breathing exercises, or pulmonary concerns without chest physiotherapy."
530,Counseling,"ONLY use when psychological counseling is provided: 'counseling', 'therapy', 'psychological counseling', 'mental health counseling' - NOT for medical consultations, educational counseling, or emotional concerns without counseling services."
531,Dietician,"ONLY use when dietitian services are provided: 'dietitian', 'nutritionist', 'dietary consultation', 'nutrition counseling' - NOT for dietary advice from doctors, nutrition discussions, or eating concerns without dietitian services."
532,Hippotherapy (Horse),"ONLY use when therapeutic horseback riding is provided: 'hippotherapy', 'therapeutic horseback riding', 'equine therapy', 'horse therapy', 'therapeutic riding' - NOT for recreational horseback riding, pony rides, or horse activities without therapeutic purpose."
533,Intensive Therapies Program (includes NAPA),"ONLY use when intensive therapy programs are attended: 'intensive therapy program', 'NAPA', 'intensive rehabilitation', 'therapy intensives' - NOT for regular therapy sessions, outpatient therapy, or therapy concerns without intensive programs."
534,Phototherapy (includes for jaundice),"ONLY use when phototherapy is used: 'phototherapy', 'light therapy', 'bili lights', 'jaundice treatment' - NOT for other light treatments, sun exposure, or jaundice discussions without phototherapy."
535,"Massage, chiropractor","ONLY use when massage or chiropractic services are used: 'massage therapy', 'chiropractor', 'chiropractic care', 'therapeutic massage' - NOT for general muscle care, back pain discussions, or physical concerns without massage/chiropractic services."
536,Multisensory Impairment Therapy,"ONLY use when specialized multisensory therapy is provided: 'multisensory therapy', 'sensory integration therapy', 'multisensory impairment therapy' - NOT for general sensory activities, occupational therapy, or sensory concerns without specialized multisensory therapy."
537,Music therapy,Only use when music therapy is provided by a certified music therapist as a formal therapeutic intervention. Casual music activities or music in school programs do NOT qualify.
538,Oral sucking training (including feeding training),Only use for specific oral motor/sucking training programs. General feeding therapy or speech therapy for feeding should use [542] Speech therapy or specific feeding codes.
539,Occupational therapy (OT),"ONLY use when occupational therapy is provided: 'occupational therapy', 'OT', 'occupational therapist' - NOT for physical therapy, self-care discussions, or developmental concerns without OT services."
540,"Play therapy (developmental therapy, neuropsychomotricity, psychomotrocity, psychomotor therapy)","ONLY use when developmental/psychomotor play therapy is provided: 'play therapy', 'developmental therapy', 'psychomotor therapy', 'neuropsychomotricity' - NOT for normal play activities, recreational therapy, or developmental discussions without play therapy services."
541,Physical therapy (PT),"ONLY use when physical therapy is provided: 'physical therapy', 'PT', 'physical therapist', 'physiotherapy' - NOT for occupational therapy, exercise, or movement concerns without PT services."
542,Speech,"ONLY use when speech therapy is provided: 'speech therapy', 'ST', 'speech therapist', 'speech-language pathology' - NOT for communication concerns, language development, or speech issues without speech therapy services."
